employee_id,employee_name,department,state,salary,age,bonus
1000,Nitz Leif,Marketing,CA,6131,26,543
1001,Melissia Dedman,Finance,AK,4027,43,1290
1002,Rudolph Barringer,HR,LA,3122,43,1445
1003,Tamra Amber,Accounts,AK,5717,47,1291
1004,Mullan Nitz,Purchasing,CA,5685,34,1394
1005,Zollner Karie,Accounts,CA,2843,27,1078
1006,Kaczorowski Zollner,Sales,CA,7201,21,1834
1007,Nakano Locust,Marketing,LA,3444,23,1823
1008,Recalde Kensinger,Accounts,LA,3704,48,1330
1009,Imai Hallie,Accounts,AK,5061,38,1557
1010,Debroah Gallman,Accounts,NY,9308,35,817
1011,Barringer Escoto,Purchasing,WA,1685,49,1706
1012,Soules Coogan,Accounts,AK,8330,43,1914
1013,Luisa Suzanne,Accounts,CA,1151,37,1095
1014,Marvis Cobian,Purchasing,NY,5061,41,1765
1015,Cobian Kensinger,Sales,LA,1983,21,632
1016,Gilma Margret,Marketing,CA,2919,45,1762
1017,Ellingsworth Ilana,Accounts,WA,9614,26,1964
1018,Vankirk Jacquelyne,Purchasing,NY,8636,47,1192
1019,Zollner Juliana,HR,NY,9739,30,1119
1020,Megan Gallman,Finance,CA,8628,27,990
1021,Gilma Imai,Purchasing,CA,9236,25,1703
1022,Jacquelyne Hanh,Accounts,AK,7310,38,1866
1023,Trena Clemencia,Finance,CA,7275,23,1005
1024,Dedman Jere,HR,WA,1385,32,1358
1025,Dionne Lemaster,Sales,AK,5134,48,1356
1026,Janey Ilana,Purchasing,AK,2338,42,1311
1027,Tyree Soules,Finance,AK,2810,45,1510
1028,Debroah Kreamer,Sales,AK,6051,25,895
1029,Frisina Gallman,HR,CA,2786,38,1512
1030,Trena Benz,Accounts,NY,4376,49,1624
1031,Suzanne Trena,Finance,AK,3039,20,761
1032,Antonio Casimira,HR,NY,3212,24,1008
1033,Amber Richter,Accounts,LA,7624,38,1580
1034,Layla Antonina,Sales,CA,9129,37,1619
1035,Vivan Sifford,Finance,NY,1129,35,1261
1036,Mullan Trena,Sales,WA,7370,30,1848
1037,Herder Nitz,Finance,AK,1677,25,579
1038,Dionne Hanh,Accounts,WA,1956,30,1498
1039,Dynes Katlyn,Accounts,AK,3039,48,834
1040,Tamra Laub,Sales,LA,9587,28,1240
1041,Vivan Kall,Purchasing,NY,1928,45,718
1042,Jaclyn Layla,HR,NY,7541,25,1289
1043,Byrge Yukiko,Sales,WA,8371,26,1945
1044,Escoto Kohn,Purchasing,NY,2268,44,1533
1045,Kaczorowski Dynes,Purchasing,NY,3901,42,1802
1046,Zollner Kensinger,Sales,WA,6636,20,1208
1047,Exie Georgeanna,Finance,WA,4651,41,1794
1048,Melissia Leonel,Marketing,CA,3864,39,741
1049,Ellingsworth Lonergan,Accounts,WA,4503,37,1090
1050,Melissia Imai,Accounts,CA,8926,37,1149
1051,Gallman Bergren,Marketing,AK,4980,43,1046
1052,Antonio Ruzicka,Finance,AK,2751,22,990
1053,Fender Yessenia,Marketing,CA,7029,23,715
1054,Lisabeth Gallman,Marketing,NY,2143,37,1623
1055,Nakano Clune,Accounts,CA,7594,40,809
1056,Byrge Lisabeth,Sales,LA,2284,41,1022
1057,Yukiko Fender,Purchasing,LA,7113,20,1814
1058,Clune Norene,Finance,AK,1605,49,801
1059,Suzanne Gilma,Purchasing,NY,2092,37,1840
1060,Rudolph Grigg,Purchasing,LA,6072,23,822
